ein;zip;tax_year;revenue_amt
107******;18********;2017;0     *****
107******;15********;;*****
*;*;*;*
107******;15********;;*****
107******;19********;2017;0     *****
*;*;*;*
*;*;*;*
107******;16********;2017;0     *****
*;*;*;*
108******;19********;2017;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
108******;19********;2016;0     *****
108******;16********;2016;0     *****
*;*;*;*
*;*;*;*
108******;19********;2017;0     *****
108******;15********;;*****
108******;19********;2016;0     *****
108******;19********;2017;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
108******;19********;2017;0     *****
108******;15********;2017;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
108******;19********;2016;0     *****
108******;16********;2016;0     *****
*;*;*;*
108******;19********;2016;0     *****
*;*;*;*
108******;19********;2016;0     *****
108******;15********;2017;0     *****
108******;15********;;*****
*;*;*;*
*;*;*;*
108******;15********;;*****
*;*;*;*
*;*;*;*
*;*;*;*
108******;15********;;*****
109******;17********;2016;0     *****
109******;17********;2017;0     *****
109******;18********;2016;0     *****
*;*;*;*
109******;15********;;*****
109******;16********;2017;0     *****
109******;15********;2017;0     *****
109******;17********;2017;0     *****
109******;16********;2017;0     *****
109******;19********;;*****
*;*;*;*
*;*;*;*
*;*;*;*
109******;15********;2017;0     *****
109******;17********;2016;0     *****
109******;15********;;*****
109******;15********;2017;0     *****
109******;18********;2017;0     *****
109******;15********;2017;0     *****
*;*;*;*
109******;16********;2017;0     *****
*;*;*;*
109******;19********;2016;0     *****
109******;18********;2017;0     *****
*;*;*;*
109******;16********;2017;0     *****
109******;16********;2017;0     *****
*;*;*;*
*;*;*;*
109******;19********;2016;0     *****
*;*;*;*
109******;19********;2016;0     *****
109******;18********;2016;0     *****
109******;17********;2017;0     *****
*;*;*;*
*;*;*;*
109******;19********;;*****
*;*;*;*
109******;16********;2017;0     *****
*;*;*;*
*;*;*;*
161******;15********;2017;*****
161******;15********;2017;*****
162******;19********;2016;*****
*;*;*;*
162******;19********;2016;*****
*;*;*;*
162******;19********;2016;*****
*;*;*;*
202******;19********;2016;*****
202******;19********;2016;*****
*;*;*;*
204******;19********;;*****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
205******;17********;2017;0     *****
205******;18********;2017;*****
*;*;*;*
205******;15********;2017;0     *****
205******;19********;;*****
205******;18********;;*****
205******;18********;2017;0     *****
205******;15********;2017;0     *****
*;*;*;*
205******;19********;2017;0     *****
*;*;*;*
205******;19********;2016;0     *****
205******;18********;2017;0     *****
*;*;*;*
205******;17********;2017;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
205******;18********;2017;0     *****
205******;17********;2017;0     *****
205******;16********;2017;0     *****
205******;16********;2017;0     *****
*;*;*;*
205******;18********;;*****
205******;18********;2017;0     *****
*;*;*;*
*;*;*;*
205******;18********;2017;0     *****
*;*;*;*
*;*;*;*
205******;19********;2017;0     *****
205******;15********;;*****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
205******;15********;2015;0     *****
205******;19********;2016;0     *****
205******;18********;2016;0     *****
*;*;*;*
205******;15********;2017;0     *****
*;*;*;*
*;*;*;*
205******;19********;;*****
206******;18********;2017;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
206******;17********;;*****
*;*;*;*
206******;19********;;*****
*;*;*;*
206******;15********;;*****
206******;15********;;*****
206******;19********;;*****
*;*;*;*
206******;19********;;*****
206******;18********;2017;0     *****
206******;17********;2016;0     *****
206******;15********;2017;0     *****
206******;16********;2017;0     *****
206******;15********;2016;0     *****
*;*;*;*
206******;19********;2016;0     *****
206******;19********;;*****
206******;17********;2016;0     *****
206******;19********;2016;0     *****
206******;17********;;*****
206******;15********;2017;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
206******;19********;;*****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
206******;17********;2016;*****
206******;17********;2017;0     *****
*;*;*;*
206******;19********;;*****
*;*;*;*
*;*;*;*
206******;19********;2017;0     *****
*;*;*;*
*;*;*;*
206******;19********;2016;*****
*;*;*;*
206******;17********;2016;0     *****
*;*;*;*
206******;19********;2016;0     *****
206******;17********;;*****
206******;17********;2016;0     *****
*;*;*;*
*;*;*;*
206******;16********;;*****
206******;19********;2016;0     *****
206******;17********;2016;0     *****
*;*;*;*
206******;17********;2017;0     *****
206******;16********;;*****
206******;15********;;*****
206******;19********;2017;0     *****
206******;19********;;*****
206******;15********;2016;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
206******;19********;2016;0     *****
*;*;*;*
*;*;*;*
206******;19********;;*****
*;*;*;*
*;*;*;*
207******;19********;2017;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
207******;17********;;*****
207******;19********;2016;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
207******;19********;2016;0     *****
207******;19********;2016;0     *****
207******;15********;2017;*****
*;*;*;*
207******;19********;;*****
*;*;*;*
*;*;*;*
207******;17********;2016;0     *****
*;*;*;*
207******;19********;2016;0     *****
207******;17********;;*****
207******;17********;2017;0     *****
*;*;*;*
207******;17********;2016;*****
207******;17********;2017;0     *****
207******;17********;;*****
*;*;*;*
207******;17********;2016;0     *****
207******;19********;2017;0     *****
207******;18********;2017;0     *****
207******;19********;2017;0     *****
*;*;*;*
207******;15********;2017;0     *****
207******;19********;;*****
*;*;*;*
*;*;*;*
*;*;*;*
207******;19********;;*****
*;*;*;*
207******;15********;2017;0     *****
207******;15********;2016;0     *****
207******;17********;;*****
207******;19********;;*****
207******;19********;2016;0     *****
*;*;*;*
207******;15********;2016;0     *****
*;*;*;*
207******;17********;2016;0     *****
*;*;*;*
207******;19********;;*****
*;*;*;*
*;*;*;*
207******;15********;2017;0     *****
207******;15********;2017;0     *****
207******;19********;2016;*****
207******;19********;2016;*****
*;*;*;*
*;*;*;*
207******;18********;2017;0     *****
208******;19********;;*****
*;*;*;*
*;*;*;*
208******;18********;2016;0     *****
208******;19********;2017;0     *****
208******;17********;2017;0     *****
*;*;*;*
260******;15********;2016;*****
*;*;*;*
261******;19********;2017;*****
*;*;*;*
*;*;*;*
*;*;*;*
303******;19********;2017;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
303******;19********;2017;0     *****
*;*;*;*
*;*;*;*
303******;19********;;*****
*;*;*;*
303******;19********;2017;0     *****
303******;19********;;*****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
303******;19********;;*****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
304******;15********;2016;0     *****
*;*;*;*
304******;15********;2017;0     *****
304******;16********;2017;0     *****
*;*;*;*
304******;15********;2017;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
304******;19********;;*****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
304******;15********;;*****
304******;15********;2016;0     *****
*;*;*;*
*;*;*;*
304******;17********;2017;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
304******;15********;2017;0     *****
304******;17********;2017;0     *****
304******;16********;2017;0     *****
304******;15********;2017;0     *****
304******;15********;;*****
304******;19********;;*****
304******;16********;2017;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
304******;16********;2017;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
304******;15********;;*****
304******;19********;;*****
304******;16********;2017;0     *****
*;*;*;*
304******;19********;;*****
*;*;*;*
304******;17********;2017;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
304******;15********;2017;0     *****
304******;15********;;*****
304******;15********;2016;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
305******;19********;2016;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
305******;15********;2016;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
305******;15********;2016;0     *****
305******;19********;2016;0     *****
*;*;*;*
*;*;*;*
305******;19********;2017;0     *****
*;*;*;*
305******;15********;2017;0     *****
305******;17********;2016;0     *****
305******;19********;2017;0     *****
305******;15********;2017;0     *****
*;*;*;*
*;*;*;*
305******;19********;2017;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
305******;19********;2016;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
305******;19********;2016;0     *****
*;*;*;*
305******;17********;2017;0     *****
305******;17********;2016;0     *****
305******;15********;2016;0     *****
*;*;*;*
305******;19********;2016;0     *****
*;*;*;*
305******;17********;2017;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
306******;17********;2016;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
306******;17********;2016;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
426******;15********;2016;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
426******;15********;2016;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
431******;19********;2016;*****
*;*;*;*
*;*;*;*
*;*;*;*
432******;19********;2016;*****
432******;15********;2016;*****
*;*;*;*
432******;15********;2017;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
436******;15********;2016;0     *****
*;*;*;*
436******;17********;2017;0     *****
436******;17********;2017;0     *****
436******;18********;2017;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
436******;16********;2016;0     *****
*;*;*;*
436******;15********;2016;0     *****
436******;17********;;*****
436******;19********;;*****
*;*;*;*
*;*;*;*
436******;16********;2017;0     *****
436******;18********;2017;0     *****
*;*;*;*
436******;17********;2017;0     *****
*;*;*;*
436******;17********;;*****
*;*;*;*
*;*;*;*
436******;18********;2017;0     *****
*;*;*;*
436******;16********;2017;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
436******;19********;2016;*****
*;*;*;*
*;*;*;*
436******;15********;2016;0     *****
436******;19********;;*****
*;*;*;*
*;*;*;*
436******;17********;2017;0     *****
436******;19********;;*****
436******;15********;;*****
*;*;*;*
436******;19********;;*****
436******;15********;;*****
*;*;*;*
436******;17********;2017;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
436******;16********;2016;0     *****
*;*;*;*
436******;19********;2017;0     *****
*;*;*;*
436******;19********;;*****
436******;19********;;*****
436******;16********;2017;0     *****
436******;17********;2017;0     *****
*;*;*;*
*;*;*;*
436******;17********;;*****
436******;15********;2016;0     *****
437******;17********;2016;0     *****
*;*;*;*
437******;16********;2017;0     *****
437******;19********;2016;0     *****
437******;17********;;*****
*;*;*;*
437******;15********;;*****
437******;17********;2017;0     *****
*;*;*;*
*;*;*;*
437******;17********;2016;0     *****
437******;17********;2016;0     *****
437******;19********;;*****
*;*;*;*
*;*;*;*
437******;18********;2017;0     *****
437******;15********;2017;0     *****
*;*;*;*
*;*;*;*
437******;17********;2016;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
437******;18********;2017;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
437******;17********;2017;0     *****
437******;19********;;*****
437******;19********;2016;0     *****
*;*;*;*
*;*;*;*
437******;15********;2016;*****
437******;19********;2017;0     *****
437******;17********;2016;0     *****
*;*;*;*
*;*;*;*
437******;17********;;*****
437******;17********;2016;0     *****
437******;19********;2016;0     *****
437******;17********;2016;0     *****
437******;15********;2017;0     *****
437******;18********;2017;0     *****
*;*;*;*
437******;15********;;*****
*;*;*;*
*;*;*;*
*;*;*;*
437******;15********;;*****
437******;15********;2016;*****
437******;19********;;*****
437******;17********;2016;0     *****
*;*;*;*
*;*;*;*
437******;17********;2017;0     *****
*;*;*;*
437******;19********;2016;0     *****
437******;19********;2017;0     *****
*;*;*;*
437******;19********;2016;0     *****
*;*;*;*
437******;17********;2017;0     *****
*;*;*;*
437******;16********;2017;0     *****
437******;19********;2017;0     *****
*;*;*;*
437******;19********;2016;0     *****
437******;15********;2017;0     *****
438******;15********;2016;0     *****
*;*;*;*
*;*;*;*
438******;19********;2016;0     *****
*;*;*;*
438******;16********;2017;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
438******;16********;2017;0     *****
438******;19********;2016;0     *****
438******;19********;2016;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
438******;15********;2016;0     *****
*;*;*;*
438******;19********;2016;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
460******;15********;2016;*****
*;*;*;*
460******;15********;2016;*****
*;*;*;*
460******;15********;2017;*****
460******;15********;2016;*****
460******;15********;2016;*****
*;*;*;*
*;*;*;*
*;*;*;*
460******;15********;2017;*****
460******;15********;2016;*****
460******;15********;2016;*****
*;*;*;*
460******;15********;2016;*****
*;*;*;*
460******;15********;2016;*****
460******;15********;2016;*****
460******;19********;2015;*****
460******;15********;2016;*****
460******;15********;2016;*****
*;*;*;*
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2016;*****
460******;15********;2016;*****
460******;15********;2016;*****
460******;15********;2016;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2016;*****
460******;15********;2016;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2016;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2016;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
*;*;*;*
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2016;*****
460******;15********;2016;*****
460******;15********;2017;*****
460******;15********;2013;0     *****
460******;15********;2017;*****
460******;15********;2016;*****
460******;15********;2017;*****
460******;15********;2016;*****
*;*;*;*
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2016;*****
460******;15********;2016;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
*;*;*;*
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2016;*****
460******;15********;2017;*****
460******;15********;2016;*****
460******;15********;2017;*****
460******;15********;2016;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
460******;15********;2017;*****
*;*;*;*
461******;15********;2016;*****
461******;15********;2017;*****
*;*;*;*
461******;15********;2016;*****
*;*;*;*
461******;15********;2016;*****
461******;15********;2017;*****
461******;15********;2016;*****
461******;15********;2017;*****
462******;15********;2017;*****
462******;15********;2016;*****
462******;15********;2016;*****
462******;15********;2016;*****
*;*;*;*
462******;15********;2017;*****
462******;15********;2017;*****
462******;15********;2016;*****
462******;15********;2017;*****
462******;15********;2016;*****
462******;15********;2016;*****
462******;15********;2016;*****
462******;15********;2016;*****
462******;15********;2017;*****
463******;15********;2016;*****
463******;15********;2016;*****
463******;15********;2017;*****
463******;15********;2016;*****
463******;15********;2016;*****
463******;15********;2017;*****
463******;15********;2016;*****
463******;15********;2016;*****
463******;15********;2016;*****
463******;15********;2016;*****
463******;15********;2017;*****
463******;15********;2017;*****
*;*;*;*
*;*;*;*
463******;15********;2016;*****
464******;15********;2017;*****
464******;15********;2016;*****
464******;15********;2017;*****
464******;15********;2016;*****
464******;15********;2017;*****
464******;15********;2017;*****
464******;15********;2016;*****
465******;15********;2016;*****
465******;15********;2016;*****
465******;15********;2016;*****
465******;19********;2016;*****
465******;15********;2016;*****
465******;15********;2016;*****
465******;15********;2016;*****
465******;15********;2016;*****
465******;15********;2016;*****
465******;15********;2016;*****
465******;15********;2016;*****
465******;15********;2016;*****
465******;15********;2016;*****
465******;15********;2016;*****
465******;19********;2016;*****
465******;15********;2016;*****
466******;15********;2016;*****
466******;15********;2016;*****
466******;15********;2016;*****
466******;15********;2016;*****
467******;15********;2016;*****
467******;15********;2016;*****
467******;15********;2016;*****
467******;15********;2016;*****
467******;15********;2016;*****
467******;15********;2016;*****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
505******;17********;;*****
*;*;*;*
505******;19********;;*****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
505******;17********;2017;0     *****
505******;17********;2016;0     *****
505******;17********;2017;0     *****
505******;19********;2017;0     *****
505******;17********;2016;0     *****
505******;15********;2016;0     *****
505******;17********;2017;0     *****
505******;17********;2017;0     *****
*;*;*;*
505******;18********;2017;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
505******;15********;;*****
*;*;*;*
505******;19********;2016;0     *****
*;*;*;*
*;*;*;*
505******;19********;2017;0     *****
505******;19********;;*****
*;*;*;*
505******;15********;2016;0     *****
505******;15********;2016;0     *****
505******;15********;;*****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
505******;16********;2016;0     *****
505******;19********;2016;*****
505******;17********;;*****
505******;16********;2016;0     *****
*;*;*;*
*;*;*;*
505******;19********;2016;*****
*;*;*;*
505******;15********;;*****
*;*;*;*
*;*;*;*
505******;18********;2017;0     *****
*;*;*;*
505******;18********;2017;0     *****
505******;15********;2016;0     *****
*;*;*;*
505******;19********;2017;0     *****
*;*;*;*
505******;15********;;*****
*;*;*;*
505******;19********;2016;0     *****
*;*;*;*
505******;19********;2017;0     *****
*;*;*;*
505******;19********;2017;0     *****
*;*;*;*
506******;17********;2017;0     *****
506******;19********;2017;0     *****
506******;15********;2016;0     *****
506******;19********;2016;0     *****
*;*;*;*
*;*;*;*
506******;17********;2016;0     *****
506******;19********;2017;0     *****
*;*;*;*
506******;15********;2017;0     *****
*;*;*;*
506******;19********;2017;0     *****
506******;15********;2016;0     *****
506******;17********;2017;0     *****
506******;15********;2017;0     *****
506******;19********;2016;0     *****
*;*;*;*
*;*;*;*
506******;19********;2016;0     *****
506******;19********;;*****
506******;19********;;*****
506******;17********;2017;0     *****
*;*;*;*
506******;17********;2016;0     *****
560******;19********;2016;0     *****
560******;19********;2016;0     *****
561******;15********;2017;*****
*;*;*;*
*;*;*;*
*;*;*;*
561******;15********;2017;*****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
611******;19********;2016;*****
611******;19********;2016;*****
612******;15********;2017;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
612******;15********;2017;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
614******;18********;2016;0     *****
614******;18********;2016;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
616******;17********;;*****
*;*;*;*
616******;15********;2017;0     *****
*;*;*;*
*;*;*;*
616******;15********;;*****
*;*;*;*
*;*;*;*
616******;15********;;*****
616******;17********;2017;0     *****
616******;19********;2016;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
616******;17********;2017;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
616******;15********;2017;0     *****
616******;18********;2016;*****
616******;19********;2017;0     *****
*;*;*;*
616******;18********;2016;*****
*;*;*;*
616******;17********;2017;0     *****
616******;17********;;*****
616******;15********;;*****
*;*;*;*
*;*;*;*
616******;16********;;*****
616******;19********;2016;0     *****
*;*;*;*
616******;19********;2016;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
616******;19********;2016;0     *****
*;*;*;*
616******;15********;2017;0     *****
*;*;*;*
616******;15********;2017;0     *****
*;*;*;*
616******;19********;2017;0     *****
616******;15********;2017;0     *****
616******;16********;;*****
*;*;*;*
616******;19********;2017;0     *****
*;*;*;*
616******;19********;2017;0     *****
617******;15********;2017;0     *****
617******;19********;2017;0     *****
617******;15********;;*****
617******;15********;2016;0     *****
*;*;*;*
617******;15********;2016;0     *****
*;*;*;*
*;*;*;*
617******;17********;2016;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
617******;15********;2017;0     *****
*;*;*;*
617******;15********;2016;0     *****
617******;18********;2017;0     *****
617******;19********;2017;0     *****
617******;19********;2016;0     *****
*;*;*;*
617******;17********;2017;0     *****
617******;15********;;*****
617******;19********;;*****
*;*;*;*
*;*;*;*
617******;19********;;*****
617******;19********;;*****
617******;15********;2017;0     *****
617******;19********;2016;0     *****
617******;17********;2017;0     *****
*;*;*;*
617******;19********;2016;0     *****
617******;19********;2017;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
617******;19********;2016;0     *****
617******;19********;;*****
617******;15********;2017;0     *****
617******;17********;2016;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
617******;18********;2017;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
617******;19********;2016;0     *****
617******;19********;2016;0     *****
617******;17********;2017;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
618******;17********;2017;0     *****
618******;19********;2016;0     *****
618******;17********;2017;0     *****
*;*;*;*
*;*;*;*
618******;15********;2017;0     *****
618******;19********;2016;0     *****
*;*;*;*
*;*;*;*
618******;15********;2017;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
618******;15********;2017;0     *****
618******;17********;2017;0     *****
*;*;*;*
*;*;*;*
660******;19********;2016;*****
*;*;*;*
660******;19********;2016;*****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
112******;19********;2017;0     *****
112******;19********;2017;0     *****
*;*;*;*
113******;18********;;*****
*;*;*;*
113******;19********;2016;*****
*;*;*;*
113******;19********;2017;0     *****
*;*;*;*
113******;19********;;*****
*;*;*;*
113******;18********;;*****
113******;18********;;*****
113******;19********;2016;*****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
113******;19********;2016;0     *****
113******;15********;;*****
113******;16********;2016;0     *****
113******;15********;2017;0     *****
*;*;*;*
113******;19********;2017;0     *****
*;*;*;*
113******;17********;2013;*****
113******;19********;;*****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
113******;19********;2016;0     *****
113******;19********;;*****
113******;15********;2017;0     *****
*;*;*;*
113******;18********;2017;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
113******;15********;;*****
113******;17********;2017;0     *****
113******;15********;2017;0     *****
113******;16********;2016;0     *****
113******;17********;2017;0     *****
113******;19********;2016;0     *****
*;*;*;*
*;*;*;*
113******;18********;;*****
113******;18********;2017;0     *****
*;*;*;*
*;*;*;*
113******;19********;2014;0     *****
113******;15********;2017;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
